Electronic Nose Data Export
Sample Name,tes
Sample Type,Bunga Kenanga
Export Date,2025-12-08T18:01:42.046639
Mode,Auto FSM
Number of Points,242

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
23.500,0.67,0.58,0.09,0.04,20.17,25.03,7.56
23.750,0.67,0.58,0.09,0.04,20.17,25.03,7.56
24.000,0.68,0.58,0.10,0.04,20.71,25.92,7.79
24.250,0.69,0.58,0.10,0.05,21.26,26.81,8.03
24.500,0.69,0.58,0.10,0.04,22.36,28.64,8.50
24.750,0.69,0.58,0.10,0.04,21.81,27.72,8.26
25.000,0.68,0.58,0.10,0.04,21.26,26.81,8.03
25.250,0.68,0.58,0.10,0.04,21.26,26.81,8.03
25.500,0.68,0.58,0.10,0.04,20.17,25.03,7.56
25.750,0.67,0.58,0.10,0.04,20.17,25.03,7.56
26.000,0.67,0.58,0.10,0.04,20.17,25.03,7.56
26.250,0.67,0.58,0.10,0.04,19.63,24.16,7.33
26.500,0.67,0.58,0.10,0.04,20.17,25.03,7.56
26.750,0.67,0.58,0.09,0.04,20.17,25.03,7.56
27.000,0.66,0.58,0.09,0.04,19.63,24.16,7.33
27.250,0.66,0.58,0.09,0.04,20.17,25.03,7.56
27.500,0.66,0.58,0.09,0.04,19.63,24.16,7.33
27.750,0.66,0.58,0.09,0.04,20.17,25.03,7.56
28.000,0.66,0.58,0.09,0.04,20.17,25.03,7.56
28.250,0.65,0.58,0.09,0.04,20.17,25.03,7.56
28.500,0.65,0.58,0.09,0.04,19.63,24.16,7.33
28.750,0.65,0.58,0.09,0.04,20.71,25.92,7.79
29.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
29.250,0.65,0.58,0.09,0.04,20.17,25.03,7.56
29.500,0.65,0.58,0.09,0.04,20.17,25.03,7.56
29.750,0.65,0.58,0.09,0.04,20.17,25.03,7.56
30.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
30.250,0.65,0.58,0.09,0.04,20.17,25.03,7.56
30.500,0.65,0.58,0.09,0.04,20.17,25.03,7.56
30.750,0.65,0.58,0.09,0.04,20.17,25.03,7.56
31.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
31.250,0.65,0.58,0.09,0.04,20.17,25.03,7.56
31.500,0.65,0.58,0.09,0.04,20.17,25.03,7.56
31.750,0.65,0.58,0.09,0.04,20.17,25.03,7.56
32.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
32.250,0.65,0.58,0.09,0.04,20.17,25.03,7.56
32.500,0.65,0.58,0.09,0.04,20.17,25.03,7.56
32.750,0.65,0.58,0.09,0.04,20.17,25.03,7.56
33.000,0.65,0.58,0.09,0.04,20.17,25.03,7.56
33.250,0.65,0.58,0.09,0.04,19.63,24.16,7.33
