Electronic Nose Data Export
Sample Name,final30-percobaan1-sedapmalam
Sample Type,Bunga Sedap Malam
Export Date,2025-12-11T10:53:52.480802
Mode,Auto FSM
Number of Points,7234

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
23.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
23.500,0.86,0.80,0.13,0.05,2.58,1.70,0.74
23.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
24.000,0.86,0.80,0.13,0.05,2.58,1.70,0.74
24.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
24.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
24.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
25.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
25.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
25.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
25.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
26.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
26.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
26.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
26.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
27.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
27.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
27.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
27.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
28.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
28.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
28.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
28.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
29.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
29.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
29.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
29.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
30.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
30.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
30.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
30.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
31.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
31.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
31.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
31.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
32.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
32.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
32.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
32.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
33.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
33.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
33.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
33.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
34.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
34.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
34.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
34.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
35.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
35.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
35.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
35.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
36.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
36.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
36.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
36.750,0.86,0.81,0.13,0.05,2.58,1.70,0.74
37.000,0.86,0.81,0.13,0.05,2.58,1.70,0.74
37.250,0.86,0.81,0.13,0.05,2.58,1.70,0.74
37.500,0.86,0.81,0.13,0.05,2.58,1.70,0.74
