Electronic Nose Data Export
Sample Name,pengambilan2-percobaan1-melati
Sample Type,Bunga Kenanga
Export Date,2025-12-08T18:49:19.624059
Mode,Auto FSM
Number of Points,7077

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
23.250,0.90,0.56,0.26,0.05,31.61,45.04,12.58
23.500,0.90,0.56,0.26,0.05,31.61,45.04,12.58
23.750,0.90,0.56,0.26,0.05,31.61,45.04,12.58
24.000,0.90,0.56,0.26,0.05,31.61,45.04,12.58
24.250,0.90,0.56,0.26,0.05,31.61,45.04,12.58
24.500,0.90,0.56,0.26,0.05,31.61,45.04,12.58
24.750,0.90,0.56,0.26,0.05,31.61,45.04,12.58
25.000,0.90,0.56,0.26,0.05,31.61,45.04,12.58
25.250,0.90,0.56,0.26,0.05,31.61,45.04,12.58
25.500,0.90,0.56,0.26,0.05,31.61,45.04,12.58
25.750,0.90,0.56,0.26,0.05,31.61,45.04,12.58
26.000,0.90,0.56,0.26,0.05,31.61,45.04,12.58
26.250,0.90,0.56,0.26,0.05,31.61,45.04,12.58
26.500,0.90,0.56,0.26,0.05,31.61,45.04,12.58
26.750,0.90,0.56,0.26,0.05,31.61,45.04,12.58
27.000,0.90,0.56,0.26,0.05,31.61,45.04,12.58
27.250,0.90,0.56,0.26,0.05,31.61,45.04,12.58
27.500,0.90,0.56,0.26,0.05,31.01,43.92,12.31
27.750,0.90,0.56,0.26,0.05,32.21,46.16,12.86
28.000,0.90,0.56,0.26,0.05,31.61,45.04,12.58
28.250,0.90,0.56,0.26,0.05,31.61,45.04,12.58
28.500,0.90,0.56,0.26,0.05,31.61,45.04,12.58
28.750,0.90,0.56,0.26,0.05,31.01,43.92,12.31
29.000,0.90,0.56,0.26,0.05,31.61,45.04,12.58
29.250,0.90,0.56,0.26,0.05,31.01,43.92,12.31
29.500,0.90,0.56,0.26,0.05,31.61,45.04,12.58
29.750,0.90,0.56,0.26,0.05,31.61,45.04,12.58
30.000,0.90,0.56,0.26,0.05,31.61,45.04,12.58
30.250,0.90,0.56,0.26,0.05,31.61,45.04,12.58
30.500,0.90,0.56,0.26,0.05,32.82,47.30,13.13
30.750,0.90,0.56,0.27,0.05,31.61,45.04,12.58
31.000,0.90,0.56,0.27,0.05,31.61,45.04,12.58
31.250,0.90,0.56,0.27,0.05,31.61,45.04,12.58
31.500,0.90,0.56,0.27,0.05,31.61,45.04,12.58
31.750,0.90,0.56,0.27,0.05,31.61,45.04,12.58
32.000,0.90,0.56,0.27,0.05,31.61,45.04,12.58
32.250,0.90,0.56,0.27,0.05,31.61,45.04,12.58
32.500,0.90,0.56,0.27,0.05,31.61,45.04,12.58
32.750,0.90,0.56,0.27,0.05,31.61,45.04,12.58
33.000,0.90,0.56,0.27,0.05,31.61,45.04,12.58
33.250,0.90,0.56,0.27,0.05,31.61,45.04,12.58
33.500,0.90,0.56,0.27,0.05,31.61,45.04,12.58
33.750,0.90,0.56,0.27,0.05,31.01,43.92,12.31
34.000,0.90,0.56,0.27,0.05,31.61,45.04,12.58
34.250,0.90,0.56,0.27,0.05,31.61,45.04,12.58
34.500,0.90,0.56,0.27,0.05,31.61,45.04,12.58
34.750,0.90,0.56,0.27,0.05,32.21,46.16,12.86
35.000,0.90,0.56,0.27,0.05,33.43,48.46,13.41
35.250,0.90,0.56,0.27,0.05,31.61,45.04,12.58
35.500,0.90,0.56,0.27,0.05,31.61,45.04,12.58
35.750,0.90,0.56,0.27,0.05,32.21,46.16,12.86
36.000,0.90,0.56,0.27,0.05,31.61,45.04,12.58
36.250,0.90,0.56,0.27,0.05,31.61,45.04,12.58
36.500,0.90,0.56,0.27,0.05,31.61,45.04,12.58
36.750,0.90,0.56,0.27,0.05,31.61,45.04,12.58
37.000,0.90,0.56,0.27,0.05,31.61,45.04,12.58
37.250,0.90,0.56,0.27,0.05,32.21,46.16,12.86
37.500,0.90,0.56,0.27,0.05,31.61,45.04,12.58
37.750,0.90,0.56,0.27,0.05,31.61,45.04,12.58
38.000,0.90,0.56,0.27,0.05,32.21,46.16,12.86
38.250,0.90,0.56,0.27,0.06,31.61,45.04,12.58
38.500,0.90,0.56,0.27,0.06,32.21,46.16,12.86
38.750,0.90,0.56,0.27,0.05,32.21,46.16,12.86
39.000,0.90,0.56,0.27,0.05,32.21,46.16,12.86
39.250,0.90,0.56,0.27,0.05,31.61,45.04,12.58
39.500,0.90,0.56,0.27,0.05,34.04,49.62,13.69
39.750,0.90,0.56,0.27,0.05,31.61,45.04,12.58
40.000,0.90,0.56,0.27,0.05,31.61,45.04,12.58
40.250,0.90,0.56,0.27,0.05,31.61,45.04,12.58
40.500,0.90,0.56,0.27,0.05,31.61,45.04,12.58
40.750,0.90,0.56,0.27,0.05,31.61,45.04,12.58
41.000,0.90,0.56,0.27,0.05,31.61,45.04,12.58
41.250,0.90,0.56,0.27,0.05,31.61,45.04,12.58
41.500,0.90,0.56,0.27,0.05,31.61,45.04,12.58
41.750,0.90,0.56,0.28,0.05,31.61,45.04,12.58
42.000,0.90,0.56,0.28,0.05,31.61,45.04,12.58
42.250,0.90,0.56,0.28,0.05,31.61,45.04,12.58
42.500,0.90,0.56,0.28,0.05,32.21,46.16,12.86
42.750,0.90,0.56,0.28,0.05,31.61,45.04,12.58
43.000,0.90,0.56,0.28,0.05,31.61,45.04,12.58
43.250,0.90,0.56,0.28,0.05,31.61,45.04,12.58
43.500,0.90,0.56,0.28,0.05,31.61,45.04,12.58
43.750,0.90,0.56,0.28,0.05,31.61,45.04,12.58
44.000,0.90,0.56,0.28,0.06,31.61,45.04,12.58
44.250,0.90,0.56,0.28,0.05,32.21,46.16,12.86
44.500,0.90,0.56,0.28,0.05,32.21,46.16,12.86
44.750,0.90,0.56,0.28,0.05,31.61,45.04,12.58
45.000,0.90,0.56,0.28,0.05,32.21,46.16,12.86
45.250,0.90,0.56,0.28,0.05,31.61,45.04,12.58
45.500,0.91,0.56,0.28,0.05,32.21,46.16,12.86
45.750,0.90,0.56,0.28,0.05,32.21,46.16,12.86
46.000,0.91,0.56,0.28,0.05,32.21,46.16,12.86
46.250,0.90,0.56,0.28,0.05,30.41,42.82,12.04
46.500,0.90,0.56,0.28,0.05,31.61,45.04,12.58
46.750,0.90,0.56,0.28,0.05,31.61,45.04,12.58
47.000,0.90,0.56,0.28,0.05,31.61,45.04,12.58
47.250,0.91,0.56,0.28,0.05,32.82,47.30,13.13
47.500,0.90,0.56,0.28,0.05,32.21,46.16,12.86
47.750,0.90,0.56,0.28,0.05,32.21,46.16,12.86
48.000,0.90,0.56,0.28,0.05,32.21,46.16,12.86
48.250,0.90,0.56,0.28,0.05,31.61,45.04,12.58
48.500,0.90,0.56,0.28,0.05,31.61,45.04,12.58
48.750,0.91,0.56,0.28,0.05,31.61,45.04,12.58
49.000,0.90,0.56,0.28,0.05,32.21,46.16,12.86
49.250,0.91,0.56,0.28,0.05,32.21,46.16,12.86
49.500,0.90,0.56,0.28,0.05,31.61,45.04,12.58
49.750,0.90,0.56,0.28,0.05,32.21,46.16,12.86
50.000,0.91,0.56,0.28,0.05,31.61,45.04,12.58
50.250,0.90,0.56,0.28,0.05,31.61,45.04,12.58
50.500,0.91,0.56,0.28,0.05,32.21,46.16,12.86
50.750,0.90,0.56,0.28,0.05,32.21,46.16,12.86
51.000,0.91,0.56,0.28,0.05,32.21,46.16,12.86
51.250,0.91,0.56,0.28,0.05,32.21,46.16,12.86
51.500,0.91,0.56,0.28,0.05,32.21,46.16,12.86
51.750,0.91,0.56,0.28,0.05,31.61,45.04,12.58
52.000,0.91,0.56,0.28,0.05,32.21,46.16,12.86
52.250,0.91,0.56,0.28,0.06,32.21,46.16,12.86
52.500,0.91,0.56,0.28,0.05,32.21,46.16,12.86
52.750,0.91,0.56,0.28,0.05,32.21,46.16,12.86
53.000,0.91,0.56,0.28,0.05,31.61,45.04,12.58
53.250,0.91,0.56,0.28,0.06,32.21,46.16,12.86
53.500,0.91,0.56,0.28,0.06,31.61,45.04,12.58
53.750,0.91,0.56,0.28,0.06,32.21,46.16,12.86
54.000,0.91,0.56,0.28,0.06,31.61,45.04,12.58
54.250,0.91,0.56,0.28,0.05,32.21,46.16,12.86
54.500,0.91,0.56,0.28,0.05,32.21,46.16,12.86
54.750,0.91,0.56,0.28,0.05,32.21,46.16,12.86
55.000,0.91,0.56,0.28,0.05,31.61,45.04,12.58
55.250,0.91,0.56,0.28,0.05,32.21,46.16,12.86
55.500,0.91,0.56,0.28,0.05,32.21,46.16,12.86
55.750,0.91,0.56,0.28,0.05,32.21,46.16,12.86
56.000,0.91,0.56,0.28,0.06,32.21,46.16,12.86
56.250,0.91,0.56,0.28,0.05,32.21,46.16,12.86
56.500,0.91,0.56,0.28,0.05,31.61,45.04,12.58
56.750,0.91,0.56,0.28,0.06,32.21,46.16,12.86
57.000,0.91,0.56,0.28,0.05,32.21,46.16,12.86
57.250,0.91,0.56,0.29,0.05,32.21,46.16,12.86
57.500,0.91,0.56,0.29,0.06,31.61,45.04,12.58
57.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
58.000,0.91,0.56,0.29,0.05,32.21,46.16,12.86
58.250,0.91,0.56,0.29,0.05,31.61,45.04,12.58
58.500,0.91,0.56,0.29,0.05,32.21,46.16,12.86
58.750,0.91,0.56,0.29,0.05,32.21,46.16,12.86
59.000,0.91,0.56,0.29,0.05,32.21,46.16,12.86
59.250,0.91,0.56,0.29,0.06,32.21,46.16,12.86
59.500,0.91,0.56,0.29,0.05,32.21,46.16,12.86
59.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
60.000,0.91,0.56,0.29,0.05,32.21,46.16,12.86
60.250,0.91,0.56,0.29,0.05,32.21,46.16,12.86
60.500,0.91,0.56,0.29,0.05,32.21,46.16,12.86
60.750,0.91,0.56,0.29,0.05,31.61,45.04,12.58
61.000,0.91,0.56,0.29,0.05,31.61,45.04,12.58
61.250,0.91,0.56,0.29,0.05,30.41,42.82,12.04
61.500,0.91,0.56,0.29,0.05,32.21,46.16,12.86
61.750,0.91,0.56,0.29,0.05,31.61,45.04,12.58
62.000,0.91,0.56,0.29,0.06,32.21,46.16,12.86
62.250,0.91,0.56,0.29,0.05,32.21,46.16,12.86
62.500,0.91,0.56,0.29,0.06,32.82,47.30,13.13
62.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
63.000,0.91,0.56,0.29,0.05,32.82,47.30,13.13
63.250,0.91,0.56,0.29,0.06,32.21,46.16,12.86
63.500,0.91,0.56,0.29,0.05,32.21,46.16,12.86
63.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
64.000,0.91,0.56,0.29,0.06,32.21,46.16,12.86
64.250,0.91,0.56,0.29,0.05,32.21,46.16,12.86
64.500,0.91,0.56,0.29,0.05,32.21,46.16,12.86
64.750,0.91,0.56,0.29,0.05,32.21,46.16,12.86
65.000,0.91,0.56,0.29,0.06,32.21,46.16,12.86
65.250,0.91,0.56,0.29,0.05,32.21,46.16,12.86
65.500,0.91,0.56,0.29,0.06,32.21,46.16,12.86
65.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
66.000,0.91,0.56,0.29,0.06,32.21,46.16,12.86
66.250,0.91,0.56,0.29,0.06,31.01,43.92,12.31
66.500,0.91,0.56,0.29,0.06,32.21,46.16,12.86
66.750,0.91,0.56,0.29,0.05,32.21,46.16,12.86
67.000,0.91,0.56,0.29,0.06,32.21,46.16,12.86
67.250,0.91,0.56,0.29,0.05,31.61,45.04,12.58
67.500,0.91,0.56,0.29,0.06,32.82,47.30,13.13
67.750,0.91,0.56,0.29,0.05,32.21,46.16,12.86
68.000,0.91,0.56,0.29,0.06,32.82,47.30,13.13
68.250,0.91,0.56,0.29,0.06,32.21,46.16,12.86
68.500,0.91,0.56,0.29,0.06,32.21,46.16,12.86
68.750,0.91,0.56,0.29,0.05,32.21,46.16,12.86
69.000,0.91,0.56,0.29,0.06,32.21,46.16,12.86
69.250,0.91,0.56,0.29,0.05,32.21,46.16,12.86
69.500,0.91,0.56,0.29,0.05,32.21,46.16,12.86
69.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
70.000,0.91,0.56,0.29,0.06,32.21,46.16,12.86
70.250,0.91,0.56,0.29,0.06,32.82,47.30,13.13
70.500,0.91,0.56,0.29,0.06,32.21,46.16,12.86
70.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
71.000,0.91,0.56,0.29,0.06,32.21,46.16,12.86
71.250,0.91,0.56,0.29,0.06,32.21,46.16,12.86
71.500,0.91,0.56,0.29,0.05,32.21,46.16,12.86
71.750,0.91,0.56,0.29,0.06,32.82,47.30,13.13
72.000,0.91,0.56,0.29,0.06,32.82,47.30,13.13
72.250,0.91,0.56,0.29,0.06,32.21,46.16,12.86
72.500,0.91,0.56,0.29,0.06,32.82,47.30,13.13
72.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
73.000,0.91,0.56,0.29,0.06,32.82,47.30,13.13
73.250,0.91,0.56,0.29,0.06,32.82,47.30,13.13
73.500,0.91,0.56,0.29,0.05,32.82,47.30,13.13
73.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
74.000,0.91,0.56,0.29,0.06,32.21,46.16,12.86
74.250,0.91,0.56,0.29,0.06,32.21,46.16,12.86
74.500,0.91,0.56,0.29,0.06,32.21,46.16,12.86
74.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
75.000,0.91,0.56,0.29,0.06,32.21,46.16,12.86
75.250,0.91,0.56,0.29,0.06,32.21,46.16,12.86
75.500,0.91,0.56,0.29,0.06,32.21,46.16,12.86
75.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
76.000,0.91,0.56,0.29,0.06,32.82,47.30,13.13
76.250,0.91,0.56,0.29,0.06,32.21,46.16,12.86
76.500,0.91,0.56,0.29,0.06,32.82,47.30,13.13
76.750,0.91,0.56,0.29,0.06,32.21,46.16,12.86
77.000,0.91,0.56,0.29,0.06,32.21,46.16,12.86
77.250,0.91,0.56,0.29,0.05,32.21,46.16,12.86
77.500,0.91,0.56,0.30,0.06,32.21,46.16,12.86
77.750,0.91,0.56,0.30,0.06,32.21,46.16,12.86
78.000,0.91,0.56,0.29,0.06,32.82,47.30,13.13
78.250,0.91,0.56,0.30,0.06,32.21,46.16,12.86
78.500,0.91,0.56,0.30,0.06,32.21,46.16,12.86
78.750,0.91,0.56,0.30,0.06,34.66,50.80,13.97
79.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
79.250,0.91,0.56,0.30,0.06,32.82,47.30,13.13
79.500,0.91,0.56,0.30,0.06,32.21,46.16,12.86
79.750,0.91,0.56,0.30,0.06,32.82,47.30,13.13
80.000,0.91,0.56,0.30,0.06,32.21,46.16,12.86
80.250,0.91,0.56,0.30,0.06,32.21,46.16,12.86
80.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
80.750,0.91,0.56,0.30,0.06,32.21,46.16,12.86
81.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
81.250,0.91,0.56,0.30,0.06,34.66,50.80,13.97
81.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
81.750,0.91,0.56,0.30,0.06,32.21,46.16,12.86
82.000,0.91,0.56,0.30,0.06,32.21,46.16,12.86
82.250,0.91,0.56,0.30,0.06,32.21,46.16,12.86
82.500,0.91,0.56,0.30,0.06,32.21,46.16,12.86
82.750,0.91,0.56,0.30,0.06,32.21,46.16,12.86
83.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
83.250,0.91,0.56,0.30,0.06,32.21,46.16,12.86
83.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
83.750,0.91,0.56,0.30,0.06,32.21,46.16,12.86
84.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
84.250,0.91,0.56,0.30,0.06,32.82,47.30,13.13
84.500,0.91,0.56,0.30,0.05,32.82,47.30,13.13
84.750,0.91,0.56,0.30,0.06,32.21,46.16,12.86
85.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
85.250,0.91,0.56,0.30,0.06,32.82,47.30,13.13
85.500,0.91,0.56,0.30,0.05,32.82,47.30,13.13
85.750,0.91,0.56,0.30,0.06,32.82,47.30,13.13
86.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
86.250,0.91,0.56,0.30,0.06,32.21,46.16,12.86
86.500,0.91,0.56,0.30,0.06,32.21,46.16,12.86
86.750,0.91,0.56,0.30,0.06,32.21,46.16,12.86
87.000,0.91,0.56,0.30,0.06,32.21,46.16,12.86
87.250,0.91,0.56,0.30,0.06,32.21,46.16,12.86
87.500,0.91,0.56,0.30,0.06,32.21,46.16,12.86
87.750,0.91,0.56,0.30,0.06,32.21,46.16,12.86
88.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
88.250,0.91,0.56,0.30,0.06,32.21,46.16,12.86
88.500,0.91,0.56,0.30,0.06,33.43,48.46,13.41
88.750,0.91,0.56,0.30,0.06,33.43,48.46,13.41
89.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
89.250,0.91,0.56,0.30,0.06,33.43,48.46,13.41
89.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
89.750,0.91,0.56,0.30,0.06,32.82,47.30,13.13
90.000,0.91,0.56,0.30,0.06,32.82,47.30,13.13
90.250,0.91,0.56,0.30,0.06,32.21,46.16,12.86
90.500,0.91,0.56,0.30,0.06,32.82,47.30,13.13
90.750,0.91,0.56,0.30,0.06,32.82,47.30,13.13
91.000,0.91,0.56,0.30,0.06,32.21,46.16,12.86
